record_id,timestamp,stage,hidden_signal_score,simulated_contamination_score,toy_memorization_score,canary_detection_score,ground_truth,evidence_status
SYN-0059,2020-06-06T00:00:00+00:00,ENCODE,0.1704,0.0597,0.0281,0.0736,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0060,2020-06-15T00:00:00+00:00,ENCODE,0.2043,0.0715,0.0597,0.1821,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0061,2020-06-24T00:00:00+00:00,ENCODE,0.2986,0.1045,0.0492,0.1357,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0062,2020-07-03T00:00:00+00:00,ENCODE,0.3143,0.11,0.0811,0.2208,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0063,2020-07-12T00:00:00+00:00,ENCODE,0.3473,0.1215,0.0564,0.2349,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0064,2020-07-21T00:00:00+00:00,ENCODE,0.3417,0.1196,0.0645,0.1658,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0065,2020-07-30T00:00:00+00:00,ENCODE,0.312,0.1092,0.082,0.2053,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0066,2020-08-08T00:00:00+00:00,ENCODE,0.247,0.0865,0.044,0.0927,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0067,2020-08-17T00:00:00+00:00,ENCODE,0.2632,0.0921,0.0383,0.1663,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0068,2020-08-26T00:00:00+00:00,ENCODE,0.1386,0.0485,0.0222,0.1165,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0069,2020-09-04T00:00:00+00:00,ENCODE,0.361,0.1263,0.0837,0.2613,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0070,2020-09-13T00:00:00+00:00,ENCODE,0.2718,0.0951,0.08,0.1374,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0071,2020-09-22T00:00:00+00:00,ENCODE,0.2388,0.0836,0.084,0.1957,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0072,2020-10-01T00:00:00+00:00,ENCODE,0.1253,0.0439,0.0698,0.169,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0073,2020-10-10T00:00:00+00:00,ENCODE,0.2675,0.0936,0.0447,0.1859,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0074,2020-10-19T00:00:00+00:00,ENCODE,0.1879,0.0658,0.0884,0.1681,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0075,2020-10-28T00:00:00+00:00,ENCODE,0.3809,0.1333,0.0418,0.1624,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0076,2020-11-06T00:00:00+00:00,ENCODE,0.296,0.1036,0.0962,0.1541,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0077,2020-11-15T00:00:00+00:00,ENCODE,0.3594,0.1258,0.0334,0.1997,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0078,2020-11-24T00:00:00+00:00,ENCODE,0.3256,0.114,0.0486,0.1796,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0079,2020-12-03T00:00:00+00:00,ENCODE,0.256,0.0896,0.0363,0.1973,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0080,2020-12-12T00:00:00+00:00,ENCODE,0.2648,0.0927,0.0,0.0942,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0081,2020-12-21T00:00:00+00:00,ENCODE,0.3264,0.1142,0.1047,0.1878,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0082,2020-12-30T00:00:00+00:00,ENCODE,0.3337,0.1168,0.0526,0.1904,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0083,2021-01-08T00:00:00+00:00,ENCODE,0.3367,0.1178,0.0,0.1822,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0084,2021-01-17T00:00:00+00:00,ENCODE,0.4305,0.1507,0.0296,0.1119,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0085,2021-01-26T00:00:00+00:00,ENCODE,0.1974,0.0691,0.0547,0.15,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0086,2021-02-04T00:00:00+00:00,ENCODE,0.3053,0.1069,0.0746,0.1973,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0087,2021-02-13T00:00:00+00:00,ENCODE,0.3956,0.1385,0.07,0.1851,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0088,2021-02-22T00:00:00+00:00,ENCODE,0.2291,0.0802,0.0218,0.2179,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0089,2021-03-03T00:00:00+00:00,ENCODE,0.3933,0.1377,0.004,0.1696,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0090,2021-03-12T00:00:00+00:00,ENCODE,0.2764,0.0967,0.0733,0.1087,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0091,2021-03-21T00:00:00+00:00,ENCODE,0.2935,0.1027,0.0296,0.1274,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0092,2021-03-30T00:00:00+00:00,ENCODE,0.2898,0.1014,0.0624,0.1879,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0093,2021-04-08T00:00:00+00:00,ENCODE,0.3525,0.1234,0.0736,0.1929,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0094,2021-04-17T00:00:00+00:00,ENCODE,0.2819,0.0987,0.0258,0.1845,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0095,2021-04-26T00:00:00+00:00,ENCODE,0.3181,0.1113,0.0737,0.1483,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0096,2021-05-05T00:00:00+00:00,ENCODE,0.429,0.1501,0.0725,0.1737,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0097,2021-05-14T00:00:00+00:00,INGEST,0.319,0.1531,0.0526,0.123,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0098,2021-05-23T00:00:00+00:00,INGEST,0.3552,0.1705,0.0716,0.1689,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0099,2021-06-01T00:00:00+00:00,INGEST,0.367,0.1762,0.1017,0.2686,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0100,2021-06-10T00:00:00+00:00,INGEST,0.3418,0.1641,0.0942,0.1724,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0101,2021-06-19T00:00:00+00:00,INGEST,0.3376,0.162,0.1167,0.2206,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0102,2021-06-28T00:00:00+00:00,INGEST,0.3705,0.1778,0.0843,0.2123,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0103,2021-07-07T00:00:00+00:00,INGEST,0.3366,0.1616,0.0986,0.1925,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0104,2021-07-16T00:00:00+00:00,INGEST,0.4528,0.2174,0.1348,0.268,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0105,2021-07-25T00:00:00+00:00,INGEST,0.4004,0.1922,0.0818,0.1994,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0106,2021-08-03T00:00:00+00:00,INGEST,0.395,0.1896,0.1572,0.2229,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0107,2021-08-12T00:00:00+00:00,INGEST,0.3158,0.1516,0.084,0.1438,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0108,2021-08-21T00:00:00+00:00,INGEST,0.3222,0.1546,0.0291,0.1333,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0109,2021-08-30T00:00:00+00:00,INGEST,0.4895,0.235,0.1109,0.2242,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0110,2021-09-08T00:00:00+00:00,INGEST,0.4749,0.2279,0.1228,0.1931,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0111,2021-09-17T00:00:00+00:00,INGEST,0.3785,0.1817,0.0836,0.1888,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0112,2021-09-26T00:00:00+00:00,INGEST,0.3052,0.1465,0.0816,0.1671,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0113,2021-10-05T00:00:00+00:00,INGEST,0.3951,0.1896,0.0682,0.159,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0114,2021-10-14T00:00:00+00:00,INGEST,0.3392,0.1628,0.0671,0.1549,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0115,2021-10-23T00:00:00+00:00,INGEST,0.3956,0.1899,0.1149,0.241,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0116,2021-11-01T00:00:00+00:00,INGEST,0.3616,0.1736,0.0877,0.1785,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0117,2021-11-10T00:00:00+00:00,INGEST,0.3623,0.1739,0.1197,0.1238,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0118,2021-11-19T00:00:00+00:00,INGEST,0.3807,0.1827,0.1672,0.2289,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0119,2021-11-28T00:00:00+00:00,INGEST,0.406,0.1949,0.1413,0.1804,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0120,2021-12-07T00:00:00+00:00,INGEST,0.3535,0.1697,0.1061,0.1918,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0121,2021-12-16T00:00:00+00:00,INGEST,0.4595,0.2206,0.1316,0.2224,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0122,2021-12-25T00:00:00+00:00,INGEST,0.3262,0.1566,0.097,0.1821,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0123,2022-01-03T00:00:00+00:00,INGEST,0.4766,0.2288,0.1577,0.2591,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0124,2022-01-12T00:00:00+00:00,INGEST,0.432,0.2073,0.0958,0.2129,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0125,2022-01-21T00:00:00+00:00,INGEST,0.4647,0.223,0.1519,0.1839,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0126,2022-01-30T00:00:00+00:00,INGEST,0.3646,0.175,0.0574,0.1191,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0127,2022-02-08T00:00:00+00:00,INGEST,0.3755,0.1802,0.0807,0.1201,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0128,2022-02-17T00:00:00+00:00,INGEST,0.4915,0.2359,0.1148,0.1612,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0129,2022-02-26T00:00:00+00:00,INGEST,0.4516,0.2168,0.1676,0.2724,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0130,2022-03-07T00:00:00+00:00,INGEST,0.4649,0.2232,0.1334,0.2385,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0131,2022-03-16T00:00:00+00:00,INGEST,0.4987,0.2394,0.1295,0.198,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0132,2022-03-25T00:00:00+00:00,INGEST,0.3811,0.1829,0.0628,0.1413,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0133,2022-04-03T00:00:00+00:00,INGEST,0.3178,0.1525,0.0896,0.1245,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0134,2022-04-12T00:00:00+00:00,INGEST,0.3931,0.1887,0.1249,0.2561,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0135,2022-04-21T00:00:00+00:00,INGEST,0.4362,0.2094,0.0948,0.2467,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0136,2022-04-30T00:00:00+00:00,INGEST,0.4126,0.198,0.134,0.187,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0137,2022-05-09T00:00:00+00:00,INGEST,0.4612,0.2214,0.1407,0.2239,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0138,2022-05-18T00:00:00+00:00,INGEST,0.3777,0.1813,0.1426,0.2236,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0139,2022-05-27T00:00:00+00:00,INGEST,0.5515,0.2647,0.1144,0.1982,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0140,2022-06-05T00:00:00+00:00,INGEST,0.4296,0.2062,0.0744,0.0836,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0141,2022-06-14T00:00:00+00:00,INGEST,0.4357,0.2091,0.1429,0.2263,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0142,2022-06-23T00:00:00+00:00,INGEST,0.5953,0.2857,0.1417,0.2976,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0143,2022-07-02T00:00:00+00:00,INGEST,0.4893,0.2348,0.1177,0.232,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0144,2022-07-11T00:00:00+00:00,INGEST,0.5682,0.2727,0.1651,0.2922,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0145,2022-07-20T00:00:00+00:00,TRAIN,0.5269,0.3214,0.2076,0.2593,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0146,2022-07-29T00:00:00+00:00,TRAIN,0.364,0.222,0.1478,0.187,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0147,2022-08-07T00:00:00+00:00,TRAIN,0.4427,0.2701,0.1754,0.2324,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0148,2022-08-16T00:00:00+00:00,TRAIN,0.4567,0.2786,0.2332,0.2927,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0149,2022-08-25T00:00:00+00:00,TRAIN,0.5818,0.3549,0.2454,0.3307,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0150,2022-09-03T00:00:00+00:00,TRAIN,0.5199,0.3172,0.1747,0.2557,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0151,2022-09-12T00:00:00+00:00,TRAIN,0.5439,0.3318,0.2313,0.3109,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0152,2022-09-21T00:00:00+00:00,TRAIN,0.3986,0.2431,0.1117,0.2761,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0153,2022-09-30T00:00:00+00:00,TRAIN,0.3818,0.2329,0.1725,0.2581,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0154,2022-10-09T00:00:00+00:00,TRAIN,0.5294,0.3229,0.2434,0.3202,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0155,2022-10-18T00:00:00+00:00,TRAIN,0.5861,0.3575,0.2205,0.3546,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0156,2022-10-27T00:00:00+00:00,TRAIN,0.4179,0.2549,0.1405,0.2029,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0157,2022-11-05T00:00:00+00:00,TRAIN,0.5453,0.3326,0.269,0.2878,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0158,2022-11-14T00:00:00+00:00,TRAIN,0.5534,0.3375,0.1968,0.343,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0159,2022-11-23T00:00:00+00:00,TRAIN,0.4608,0.2811,0.1758,0.256,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0160,2022-12-02T00:00:00+00:00,TRAIN,0.4874,0.2973,0.1951,0.2959,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0161,2022-12-11T00:00:00+00:00,TRAIN,0.6573,0.401,0.2842,0.344,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0162,2022-12-20T00:00:00+00:00,TRAIN,0.4854,0.2961,0.1526,0.2807,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0163,2022-12-29T00:00:00+00:00,TRAIN,0.5503,0.3357,0.2386,0.264,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0164,2023-01-07T00:00:00+00:00,TRAIN,0.4918,0.3,0.2185,0.3183,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0165,2023-01-16T00:00:00+00:00,TRAIN,0.4275,0.2608,0.1353,0.3087,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0166,2023-01-25T00:00:00+00:00,TRAIN,0.3922,0.2392,0.1431,0.2747,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0167,2023-02-03T00:00:00+00:00,TRAIN,0.5673,0.346,0.2787,0.3281,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0168,2023-02-12T00:00:00+00:00,TRAIN,0.5493,0.3351,0.221,0.2203,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0169,2023-02-21T00:00:00+00:00,TRAIN,0.6197,0.378,0.2171,0.2536,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0170,2023-03-02T00:00:00+00:00,TRAIN,0.5385,0.3285,0.2468,0.3801,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0171,2023-03-11T00:00:00+00:00,TRAIN,0.6034,0.3681,0.2435,0.3048,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0172,2023-03-20T00:00:00+00:00,TRAIN,0.61,0.3721,0.2524,0.3238,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0173,2023-03-29T00:00:00+00:00,TRAIN,0.5195,0.3169,0.2145,0.2884,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0174,2023-04-07T00:00:00+00:00,TRAIN,0.5876,0.3584,0.2704,0.3604,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0175,2023-04-16T00:00:00+00:00,TRAIN,0.5526,0.3371,0.2144,0.3053,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0176,2023-04-25T00:00:00+00:00,TRAIN,0.6318,0.3854,0.2505,0.3176,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0177,2023-05-04T00:00:00+00:00,TRAIN,0.5336,0.3255,0.2182,0.3019,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0178,2023-05-13T00:00:00+00:00,TRAIN,0.4241,0.2587,0.132,0.1743,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0179,2023-05-22T00:00:00+00:00,TRAIN,0.5315,0.3242,0.2254,0.2478,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0180,2023-05-31T00:00:00+00:00,TRAIN,0.6035,0.3682,0.227,0.4034,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0181,2023-06-09T00:00:00+00:00,TRAIN,0.5488,0.3348,0.248,0.2824,synthetic_control,FICTIONAL_SIMULATION_ONLY
